param,value,season,windows,carbon_lp,carbon_uniform,carbon_greedy,carbon_fcfs,carbon_oracle,saving_lp_pct,saving_greedy_pct,saving_fcfs_pct,saving_oracle_pct,share_PJM_pct,share_NYISO_pct,share_Finland_pct,share_Belgium_pct,share_Singapore_pct
alpha,0.25,DJF,181,15789.0,62727.091666666674,15789.0,91072.0,13434.0,74.82905777952669,74.82905777952669,-45.187665457150274,78.58341644247017,0.0,0.0,89.63835581734119,10.361644182658814,0.0
alpha,0.25,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
alpha,0.25,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
alpha,0.25,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
alpha,0.5,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
alpha,0.5,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
alpha,0.5,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
alpha,0.5,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
alpha,0.5,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
alpha,0.75,ALL,731,51574.0,238752.25,51574.0,361781.0,44182.0,78.39852818140982,78.39852818140982,-51.52988087023264,81.49462465798752,0.0,0.0,95.87195098305348,4.128049016946524,0.0
alpha,0.75,DJF,181,15797.0,62727.091666666674,15797.0,91072.0,13434.0,74.81630411952519,74.81630411952519,-45.187665457150274,78.58341644247017,0.0,0.0,91.33379755649807,8.66620244350193,0.0
alpha,0.75,MAM,184,15031.0,56404.70833333333,15031.0,84673.0,12433.0,73.35151542461364,73.35151542461364,-50.11690070199519,77.9575138895763,0.0,0.0,94.9437828487792,5.05621715122081,0.0
alpha,0.75,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
alpha,0.75,SON,182,11239.0,59781.59166666666,11239.0,86302.0,9589.0,81.19989835221014,81.19989835221014,-44.36216499755849,83.95994530646348,0.0,0.0,100.0,0.0,0.0
alpha,1.0,ALL,731,51669.0,238752.25,51669.0,361781.0,44390.0,78.35873798047976,78.35873798047976,-51.52988087023264,81.40750506016174,0.0,0.0,96.1853335655809,3.814666434419091,0.0
alpha,1.0,DJF,181,15815.0,62727.091666666674,15815.0,91072.0,13449.0,74.78760838452179,74.78760838452179,-45.187665457150274,78.55950332996734,0.0,0.0,92.34271261460638,7.657287385393613,0.0
alpha,1.0,MAM,184,15049.0,56404.70833333333,15049.0,84673.0,12479.0,73.31960319506425,73.31960319506425,-50.11690070199519,77.87596041406117,0.0,0.0,94.94983055352515,5.0501694464748486,0.0
alpha,1.0,JJA,184,9556.0,59838.85833333333,9556.0,99734.0,8842.0,84.03044398546486,84.03044398546486,-66.67096060628386,85.22364856838428,0.0,0.0,100.0,0.0,0.0
alpha,1.0,SON,182,11249.0,59781.59166666666,11249.0,86302.0,9620.0,81.18317079491165,81.18317079491165,-44.36216499755849,83.90808987883813,0.0,0.0,100.0,0.0,0.0
sigma,0.3,ALL,731,244277.89999999997,238752.25,244277.89999999997,361781.0,224970.39999999997,-2.314386565990463,-2.314386565990463,-51.52988087023264,5.772448217765501,92.82931448158021,0.0,6.849780516370904,0.320905002048896,0.0
sigma,0.3,DJF,181,64808.899999999994,62727.091666666674,64808.899999999994,91072.0,59298.59999999999,-3.318834458954515,-3.318834458954515,-45.187665457150274,5.465727129333164,91.56643609133931,0.0,7.635525367657838,0.7980385410028563,0.0
sigma,0.3,MAM,184,57635.6,56404.70833333333,57635.6,84673.0,52271.29999999999,-2.1822498565057793,-2.1822498565057793,-50.11690070199519,7.328126419706406,91.19762785500626,0.0,8.391688470320426,0.4106836746732922,0.0
sigma,0.3,JJA,184,64731.600000000006,59838.85833333333,64731.600000000006,99734.0,60318.29999999999,-8.176529103231848,-8.176529103231848,-66.67096060628386,-0.8012212799848567,95.26490925606656,0.0,4.7350907439334105,0.0,0.0
sigma,0.3,SON,182,57101.799999999996,59781.59166666666,57101.799999999996,86302.0,53082.19999999998,4.482636865222304,4.482636865222304,-44.36216499755849,11.206445796929424,93.14855223478068,0.0,6.798910016847105,0.052537748372205435,0.0
sigma,0.5,ALL,731,190628.0,238752.25,190628.0,361781.0,175597.0,20.156563969554213,20.156563969554213,-51.52988087023264,26.452211445127745,85.12338166481315,0.0,14.204891201712236,0.6717271334746208,0.0
sigma,0.5,DJF,181,51217.5,62727.091666666674,51217.5,91072.0,46706.5,18.348677359104947,18.348677359104947,-45.187665457150274,25.540147392454436,83.03216673988383,0.0,15.290672133548103,1.6771611265680675,0.0
sigma,0.5,MAM,184,45874.5,56404.70833333333,45874.5,84673.0,41529.0,18.669023640904676,18.669023640904676,-50.11690070199519,26.373167724621094,82.02378227555613,0.0,17.30373083085374,0.6724868935901209,0.0
sigma,0.5,JJA,184,49141.5,59838.85833333333,49141.5,99734.0,46079.0,17.876942560874944,17.876942560874944,-66.67096060628386,22.99485437486761,89.64520822522715,0.0,10.354791774772849,0.0,0.0
sigma,0.5,SON,182,44394.5,59781.59166666666,44394.5,86302.0,41282.5,25.73884575115165,25.73884575115165,-44.36216499755849,30.944461582446426,85.73359312527454,0.0,14.01187083985629,0.25453603486918425,0.0
sigma,0.7,ALL,731,136167.5,238752.25,136167.5,361781.0,125258.5,42.967029630087254,42.967029630087254,-51.52988087023264,47.53620122951721,71.89975581544789,0.0,26.785246112324895,1.3149980722272203,0.0
sigma,0.7,DJF,181,37265.5,62727.091666666674,37265.5,91072.0,33910.0,40.59106040173233,40.59106040173233,-45.187665457150274,45.94042366861422,69.19026982061156,0.0,27.80614777743489,3.0035824019535493,0.0
sigma,0.7,MAM,184,33884.5,56404.70833333333,33884.5,84673.0,30602.9,39.926114324084935,39.926114324084935,-50.11690070199519,45.744068351267956,67.03950183712318,0.0,31.696203278785283,1.2642948840915462,0.0
sigma,0.7,JJA,184,33514.600000000006,59838.85833333333,33514.600000000006,99734.0,31697.300000000003,43.99191272449353,43.99191272449353,-66.67096060628386,47.028902484352756,78.9256025732069,0.0,21.074397426793094,0.0,0.0
sigma,0.7,SON,182,31502.9,59781.59166666666,31502.9,86302.0,29048.300000000003,47.30334351809245,47.30334351809245,-44.36216499755849,51.409289732583495,72.85805433785461,0.0,26.370905535680844,0.7710401264645476,0.0
sigma,0.9,ALL,731,80427.4,238752.25,80427.4,361781.0,72851.2,66.31344835493698,66.31344835493698,-51.52988087023264,69.48669593689692,41.20772274125484,0.0,56.18831393281395,2.603963325931213,0.0
sigma,0.9,DJF,181,23046.0,62727.091666666674,23046.0,91072.0,20563.6,63.259893950660086,63.259893950660086,-45.187665457150274,67.21735464912756,37.76620671700077,0.0,56.485290288987244,5.748502994011976,0.0
sigma,0.9,MAM,184,21476.399999999998,56404.70833333333,21476.399999999998,84673.0,19006.4,61.92445518363199,61.92445518363199,-50.11690070199519,66.3035222384656,36.00044700229088,0.0,60.94457171593005,3.0549812817790696,0.0
sigma,0.9,JJA,184,17761.1,59838.85833333333,17761.1,99734.0,16955.399999999994,70.3184510956718,70.3184510956718,-66.67096060628386,71.66490058090737,49.9608695407379,0.0,50.039130459262104,0.0,0.0
sigma,0.9,SON,182,18143.899999999994,59781.59166666666,18143.899999999994,86302.0,16325.799999999997,69.64968731316539,69.64968731316539,-44.36216499755849,72.69092450560659,43.17428998175696,0.0,56.20070657355918,0.6250034446838885,0.0
sigma,1.0,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
sigma,1.0,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
sigma,1.0,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
sigma,1.0,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
sigma,1.0,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
delta,6,ALL,731,55795.0,238752.25,51564.0,361781.0,44189.0,76.63058672745493,78.40271662361296,-51.52988087023264,81.4916927484453,0.0,0.0,95.28810825342772,4.711891746572274,0.0
delta,6,DJF,181,17145.0,62727.091666666674,15794.0,91072.0,13441.0,72.66731240927133,74.82108674202574,-45.187665457150274,78.57225698996885,0.0,0.0,88.89472149314669,11.10527850685331,0.0
delta,6,MAM,184,16413.0,56404.70833333333,15030.0,84673.0,12433.0,70.90136535587675,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,96.31389752025832,3.686102479741668,0.0
delta,6,JJA,184,10037.0,59838.85833333333,9507.0,99734.0,8726.0,83.22661848912837,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
delta,6,SON,182,12200.0,59781.59166666666,11233.0,86302.0,9589.0,79.59238009582381,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,99.01639344262296,0.9836065573770493,0.0
delta,12,ALL,731,54293.0,238752.25,51564.0,361781.0,44185.0,77.25969074636993,78.40271662361296,-51.52988087023264,81.49336812532657,0.0,0.0,94.157626213324,5.842373786675998,0.0
delta,12,DJF,181,16716.0,62727.091666666674,15794.0,91072.0,13437.0,73.35122742685212,74.82108674202574,-45.187665457150274,78.5786338199696,0.0,0.0,88.83106006221584,11.168939937784158,0.0
delta,12,MAM,184,15761.0,56404.70833333333,15030.0,84673.0,12433.0,72.05729722622151,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,92.48144153289766,7.518558467102341,0.0
delta,12,JJA,184,9884.0,59838.85833333333,9507.0,99734.0,8726.0,83.48230518546825,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
delta,12,SON,182,11932.0,59781.59166666666,11233.0,86302.0,9589.0,80.04067863142375,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.99430103922225,1.0056989607777405,0.0
delta,24,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
delta,24,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
delta,24,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
delta,24,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
delta,24,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
delta,48,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
delta,48,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
delta,48,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
delta,48,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
delta,48,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
kappa,0.1,ALL,731,52647.989285714284,238752.25,51564.0,361781.0,44830.380476190476,77.9486939764068,78.40271662361296,-51.52988087023264,81.22305424296924,0.0,0.0,95.83908497749123,4.160915022508773,0.0
kappa,0.1,DJF,181,16131.604761904762,62727.091666666674,15794.0,91072.0,13589.808095238095,74.28287469849788,74.82108674202574,-45.187665457150274,78.33502600845154,0.0,0.0,91.59886375075016,8.401136249249847,0.0
kappa,0.1,MAM,184,15373.341428571428,56404.70833333333,15030.0,84673.0,12658.335952380952,72.74457774390035,73.35328832625527,-50.11690070199519,77.55801540968118,0.0,0.0,94.88400095936016,5.1159990406398315,0.0
kappa,0.1,JJA,184,9654.214047619049,59838.85833333333,9507.0,99734.0,8868.099999999999,83.86631310069438,84.11233057448874,-66.67096060628386,85.18003142606749,0.0,0.0,100.0,0.0,0.0
kappa,0.1,SON,182,11488.829047619049,59781.59166666666,11233.0,86302.0,9714.13642857143,80.78199538132229,81.20993488658925,-44.36216499755849,83.7506226285576,0.0,0.0,99.5743691563577,0.4256308436422776,0.0
kappa,0.2,ALL,731,52216.83666666667,238752.25,51564.0,361781.0,44579.36,78.12927975896912,78.40271662361296,-51.52988087023264,81.32819271860265,0.0,0.0,95.57147946725485,4.428520532745154,0.0
kappa,0.2,DJF,181,15996.803333333335,62727.091666666674,15794.0,91072.0,13529.333333333332,74.49777614696255,74.82108674202574,-45.187665457150274,78.43143532745222,0.0,0.0,91.11714194565123,8.882858054348777,0.0
kappa,0.2,MAM,184,15236.593333333334,56404.70833333333,15030.0,84673.0,12573.779999999999,72.98701866643815,73.35328832625527,-50.11690070199519,77.7079247964672,0.0,0.0,94.79109284708875,5.208907152911259,0.0
kappa,0.2,JJA,184,9601.693333333335,59838.85833333333,9507.0,99734.0,8817.853333333333,83.954083348571,84.11233057448874,-66.67096060628386,85.26400138817264,0.0,0.0,100.0,0.0,0.0
kappa,0.2,SON,182,11381.746666666666,59781.59166666666,11233.0,86302.0,9658.393333333333,80.96111804762643,81.20993488658925,-44.36216499755849,83.84386721051672,0.0,0.0,99.14072942524346,0.8592705747565401,0.0
kappa,0.5,ALL,731,51818.0,238752.25,51564.0,361781.0,44323.0,78.29633019165264,78.40271662361296,-51.52988087023264,81.43556762292292,0.0,0.0,95.74230962213902,4.257690377860976,0.0
kappa,0.5,DJF,181,15874.666666666666,62727.091666666674,15794.0,91072.0,13470.666666666664,74.69248733701056,74.82108674202574,-45.187665457150274,78.52496216746326,0.0,0.0,90.8664748866118,9.133525113388206,0.0
kappa,0.5,MAM,184,15104.333333333332,56404.70833333333,15030.0,84673.0,12482.916666666668,73.22150263756055,73.35328832625527,-50.11690070199519,77.86901654929811,0.0,0.0,95.38984397413547,4.6101560258645415,0.0
kappa,0.5,JJA,184,9546.416666666666,59838.85833333333,9507.0,99734.0,8759.583333333332,84.04645921971272,84.11233057448874,-66.67096060628386,85.36137958291594,0.0,0.0,100.0,0.0,0.0
kappa,0.5,SON,182,11292.583333333332,59781.59166666666,11233.0,86302.0,9609.833333333334,81.11026652435234,81.20993488658925,-44.36216499755849,83.92509622875826,0.0,0.0,99.4686778195128,0.5313221804871929,0.0
kappa,0.8,ALL,731,51665.6,238752.25,51564.0,361781.0,44238.4,78.36016205082885,78.40271662361296,-51.52988087023264,81.47100184396169,0.0,0.0,95.67662042055063,4.323379579449383,0.0
kappa,0.8,DJF,181,15826.266666666666,62727.091666666674,15794.0,91072.0,13448.666666666666,74.76964698001967,74.82108674202574,-45.187665457150274,78.56003473246741,0.0,0.0,90.63729496111948,9.36270503888051,0.0
kappa,0.8,MAM,184,15059.733333333334,56404.70833333333,15030.0,84673.0,12452.966666666667,73.30057405077737,73.35328832625527,-50.11690070199519,77.92211495346503,0.0,0.0,95.64445585579206,4.355544144207955,0.0
kappa,0.8,JJA,184,9522.766666666666,59838.85833333333,9507.0,99734.0,8739.433333333332,84.08598203257831,84.11233057448874,-66.67096060628386,85.39505335370843,0.0,0.0,100.0,0.0,0.0
kappa,0.8,SON,182,11256.833333333332,59781.59166666666,11233.0,86302.0,9597.333333333332,81.1700675416945,81.20993488658925,-44.36216499755849,83.94600567538141,0.0,0.0,99.14718467301343,0.8528153269865711,0.0
kappa,1.0,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
kappa,1.0,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
kappa,1.0,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
kappa,1.0,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
kappa,1.0,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
rho,0.2,ALL,731,53038.0,238752.25,51564.0,361781.0,44820.399999999994,77.78534024286682,78.40271662361296,-51.52988087023264,81.22723450773762,0.0,0.0,95.5386703872695,4.461329612730496,0.0
rho,0.2,DJF,181,16292.200000000003,62727.091666666674,15794.0,91072.0,13596.599999999999,74.02685256543192,74.82108674202574,-45.187665457150274,78.32419830293955,0.0,0.0,90.84960901535703,9.150390984642955,0.0
rho,0.2,MAM,184,15486.2,56404.70833333333,15030.0,84673.0,12667.199999999999,72.54449059734227,73.35328832625527,-50.11690070199519,77.54230032510584,0.0,0.0,94.82377858997042,5.176221410029576,0.0
rho,0.2,JJA,184,9664.0,59838.85833333333,9507.0,99734.0,8854.8,83.8499592586367,84.11233057448874,-66.67096060628386,85.2022577859454,0.0,0.0,100.0,0.0,0.0
rho,0.2,SON,182,11595.6,59781.59166666666,11233.0,86302.0,9701.8,80.60339365894545,81.20993488658925,-44.36216499755849,83.77125846013634,0.0,0.0,99.36355169202112,0.6364483079788886,0.0
rho,0.4,ALL,731,52167.6,238752.25,51564.0,361781.0,44453.2,78.14990225223009,78.40271662361296,-51.52988087023264,81.38103410543775,0.0,0.0,95.66780913823908,4.33219086176094,0.0
rho,0.4,DJF,181,15998.8,62727.091666666674,15794.0,91072.0,13501.6,74.49459304598717,74.82108674202574,-45.187665457150274,78.47564801545744,0.0,0.0,90.91806885516415,9.081931144835863,0.0
rho,0.4,MAM,184,15214.2,56404.70833333333,15030.0,84673.0,12533.2,73.02671984386646,73.35328832625527,-50.11690070199519,77.77986914508467,0.0,0.0,95.17293055172141,4.827069448278582,0.0
rho,0.4,JJA,184,9580.2,59838.85833333333,9507.0,99734.0,8786.0,83.99000203741632,84.11233057448874,-66.67096060628386,85.31723324155443,0.0,0.0,100.0,0.0,0.0
rho,0.4,SON,182,11374.4,59781.59166666666,11233.0,86302.0,9632.4,80.97340722638839,81.20993488658925,-44.36216499755849,83.88734770778797,0.0,0.0,99.36172457448305,0.6382754255169503,0.0
rho,0.6,ALL,731,51865.2,238752.25,51564.0,361781.0,44314.799999999996,78.27656074445372,78.40271662361296,-51.52988087023264,81.43900214552953,0.0,0.0,95.71735961685293,4.282640383147082,0.0
rho,0.6,DJF,181,15898.8,62727.091666666674,15794.0,91072.0,13469.599999999997,74.654013796006,74.82108674202574,-45.187665457150274,78.52666265546347,0.0,0.0,90.77792034618965,9.22207965381035,0.0
rho,0.6,MAM,184,15114.399999999998,56404.70833333333,15030.0,84673.0,12480.599999999999,73.20365542770145,73.35328832625527,-50.11690070199519,77.87312377143458,0.0,0.0,95.48113057746255,4.518869422537448,0.0
rho,0.6,JJA,184,9547.0,59838.85833333333,9507.0,99734.0,8755.999999999998,84.0454843793672,84.11233057448874,-66.67096060628386,85.36736788789558,0.0,0.0,100.0,0.0,0.0
rho,0.6,SON,182,11304.999999999998,59781.59166666666,11233.0,86302.0,9608.599999999999,81.08949647404002,81.20993488658925,-44.36216499755849,83.92715929415841,0.0,0.0,99.36311366651924,0.6368863334807608,0.0
rho,0.8,ALL,731,51714.600000000006,238752.25,51564.0,361781.0,44248.399999999994,78.33963868403335,78.40271662361296,-51.52988087023264,81.46681340175851,0.0,0.0,95.67510915679517,4.3248908432048205,0.0
rho,0.8,DJF,181,15846.400000000001,62727.091666666674,15794.0,91072.0,13451.8,74.73755026901587,74.82108674202574,-45.187665457150274,78.5550395489668,0.0,0.0,90.6313105815832,9.3686894184168,0.0
